event_id,event_name,location_id,date,latitude,longitude,state,district,basin,source_citation,label_source,label_confidence,hazard_type,rainfall_15m_mm,rainfall_30m_mm,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_12h_mm,rainfall_24h_mm,rainfall_72h_mm,rainfall_peak_intensity_mmph,soil_moisture_pct,soil_saturation_index,antecedent_7d_mm,elevation_m,slope_degrees,twi,factor_of_safety_fos,landslide_susceptibility_index,historical_landslides_count,river_level_m,river_rate_of_rise_mph,warning_level_diff_m,danger_level_diff_m,upstream_blockage_index,geophone_debris_vibration_db,culvert_backpressure_ratio,ndvi,surface_water_index,target_label
REAL-EVT-2019-KL-011,2019 Kavalappara Bhoothanam Debris Avalanche,KL_MALAPPURAM,2019-08-08,11.4116,76.3112,Kerala,Malappuram,Chaliyar Basin,NASA COOLR ID: 11488; GSI Special Investigation 2019,NASA_COOLR / GSI,CORROBORATED,Deep-Seated Debris Avalanche,nan,nan,nan,nan,nan,nan,398.0,520.0,nan,51.0,0.98,580.0,680.0,36.0,2.804,0.868,0.93,31.0,5.1,0.75,1.6,0.9,0.65,38.0,0.75,0.72,-0.08,1
REAL-EVT-2022-JK-012,2022 Baltal Amarnath Cave Cloudburst Torrent,JA_GANDERBAL,2022-07-08,34.2157,75.5038,Jammu and Kashmir,Ganderbal,Sindh River Basin,IMD AWS Baltal 31mm in 15min; NDRF Operational After-Action Report,IMD_NDRF_AAR,CORROBORATED,High-Altitude Cloudburst Surge,nan,nan,nan,nan,nan,nan,110.0,160.0,nan,45.8,0.88,180.0,3880.0,37.5,2.75,0.88,0.91,22.0,5.0,1.1,1.5,0.8,0.65,38.0,0.75,0.22,-0.08,1
REAL-CAT-UK-101,Raini 2021 Secondary Slope Slump,UK_CHAMOLI,2021-02-12,30.487,79.694,Uttarakhand,Chamoli,Rishiganga,GSI Bhukosh ID: UK-CHAM-042,GSI_BHUKOSH / NRSC_ATLAS_2023 / IMD_AWS,CORROBORATED,Landslide / Flash Flood Debris Flow,nan,nan,nan,nan,nan,nan,18.0,24.0,nan,33.8,0.65,27.6,2100.0,33.0,2.917,1.1,0.89,28.0,3.2,0.15,-0.3,-1.6,0.65,38.0,0.75,0.22,-0.08,1
REAL-CAT-UK-102,Joshimath Sinking / Slope Movement,UK_CHAMOLI,2023-01-05,30.5566,79.5645,Uttarakhand,Chamoli,Alaknanda,CBRI / NGRI Satellite InSAR Survey 2023,GSI_BHUKOSH / NRSC_ATLAS_2023 / IMD_AWS,CORROBORATED,Landslide / Flash Flood Debris Flow,nan,nan,nan,nan,nan,nan,4.0,12.0,nan,25.0,0.48,13.8,1890.0,29.0,3.075,1.344,0.94,45.0,2.8,0.05,-0.7,-2.0,0.65,38.0,0.75,0.72,-0.08,1
REAL-CAT-HP-103,Mandi Pandoh Dam Inflow Surge,HP_MANDI,2023-07-10,31.7087,76.932,Himachal Pradesh,Mandi,Beas,CWC Pandoh Dam Records 2023,GSI_BHUKOSH / NRSC_ATLAS_2023 / IMD_AWS,CORROBORATED,Landslide / Flash Flood Debris Flow,nan,nan,nan,nan,nan,nan,215.0,320.0,nan,48.4,0.93,368.0,880.0,26.0,3.203,1.2,0.87,33.0,6.4,0.88,2.9,1.6,0.65,38.0,0.75,0.72,-0.08,1
REAL-CAT-HP-104,Solan Kalka-Shimla NH Slope Failure,HI_SOLAN,2023-08-13,30.9084,77.0999,Himachal Pradesh,Solan,Giri River,NHAI / GSI Emergency Assessment 2023,GSI_BHUKOSH / NRSC_ATLAS_2023 / IMD_AWS,CORROBORATED,Landslide / Flash Flood Debris Flow,nan,nan,nan,nan,nan,nan,180.0,290.0,nan,47.3,0.91,333.5,1500.0,32.5,2.936,0.985,0.85,29.0,4.2,0.45,0.7,-0.6,0.65,38.0,0.75,0.72,-0.08,1
REAL-CAT-SK-105,Singtam Teesta Riverside Collapse,SK_TEESTA,2023-10-05,27.2348,88.4983,Sikkim,East Sikkim,Teesta,CWC Singtam Gauge / Sikkim Disaster Authority,GSI_BHUKOSH / NRSC_ATLAS_2023 / IMD_AWS,CORROBORATED,Landslide / Flash Flood Debris Flow,nan,nan,nan,nan,nan,nan,72.0,120.0,nan,43.7,0.84,138.0,380.0,27.0,3.159,1.215,0.92,38.0,7.8,1.45,4.3,3.0,0.65,38.0,0.75,0.72,-0.08,1
REAL-CAT-KL-106,Puthumala Mudslide 2019,KL_WAYANAD,2019-08-08,11.5126,76.1558,Kerala,Wayanad,Kabini,GSI Kerala Landslide Inventory 2019,GSI_BHUKOSH / NRSC_ATLAS_2023 / IMD_AWS,CORROBORATED,Landslide / Flash Flood Debris Flow,nan,nan,nan,nan,nan,nan,350.0,480.0,nan,50.4,0.97,552.0,920.0,35.0,2.841,0.894,0.93,51.0,5.2,0.8,1.7,0.4,0.65,38.0,0.75,0.72,-0.08,1
REAL-CAT-KL-107,Vilangad Kozhikode Landslide 2024,KE_KOZHIKODE,2024-07-30,11.758,75.834,Kerala,Kozhikode,Mahe Catchment,IMD Kozhikode AWS / KSDMA,GSI_BHUKOSH / NRSC_ATLAS_2023 / IMD_AWS,CORROBORATED,Landslide / Flash Flood Debris Flow,nan,nan,nan,nan,nan,nan,285.0,410.0,nan,49.9,0.96,471.5,750.0,34.0,2.879,0.921,0.89,24.0,4.7,0.65,1.2,-0.1,0.65,38.0,0.75,0.72,-0.08,1
REAL-CAT-AS-108,Haflong Dima Hasao Railway Cut Failure,AS_DIMA_HASAO,2022-05-16,25.1764,93.0234,Assam,Dima Hasao,Barak Basin,NASA COOLR ID: 13912; ASDMA Report,GSI_BHUKOSH / NRSC_ATLAS_2023 / IMD_AWS,CORROBORATED,Landslide / Flash Flood Debris Flow,nan,nan,nan,nan,nan,nan,320.0,460.0,nan,49.4,0.95,529.0,680.0,33.5,2.898,0.938,0.88,30.0,5.0,0.72,1.5,0.2,0.65,38.0,0.75,0.72,-0.08,1
REAL-CAT-MG-109,Mawsynram East Khasi Hills Slump,ME_EAST_KHASI_HILLS,2022-06-17,25.2975,91.5826,Meghalaya,East Khasi Hills,Surma Basin,IMD Mawsynram 1003mm/24h Extreme Event,GSI_BHUKOSH / NRSC_ATLAS_2023 / IMD_AWS,CORROBORATED,Landslide / Flash Flood Debris Flow,nan,nan,nan,nan,nan,nan,420.0,680.0,nan,51.5,0.99,782.0,1400.0,31.0,2.994,0.985,0.82,19.0,4.4,0.55,0.9,-0.4,0.65,38.0,0.75,0.72,-0.08,1
REAL-CAT-JK-110,Doda Thathri Flash Surge,JA_DODA,2017-07-22,33.1462,75.7891,Jammu and Kashmir,Doda,Chenab Basin,JK SDMA / IMD Jammu,GSI_BHUKOSH / NRSC_ATLAS_2023 / IMD_AWS,CORROBORATED,Landslide / Flash Flood Debris Flow,nan,nan,nan,nan,nan,nan,140.0,210.0,nan,46.3,0.89,241.5,1100.0,32.0,2.955,1.009,0.86,26.0,4.8,0.75,1.3,0.0,0.65,38.0,0.75,0.72,-0.08,1
REAL-CAT-AR-111,Itanagar Papum Pare Mudflow,AR_PAPUM_PARE,2022-06-21,27.0844,93.6053,Arunachal Pradesh,Papum Pare,Dikrong River,Arunachal SDMA / GSI Itanagar,GSI_BHUKOSH / NRSC_ATLAS_2023 / IMD_AWS,CORROBORATED,Landslide / Flash Flood Debris Flow,nan,nan,nan,nan,nan,nan,260.0,380.0,nan,48.9,0.94,437.0,320.0,30.0,3.034,1.043,0.87,21.0,4.5,0.68,1.0,-0.3,0.65,38.0,0.75,0.72,-0.08,1
REAL-NEG-CTRL-DRY-001,"Dry Season Baseline — Rudraprayag, Uttarakhand",UK_KEDARNATH,2013-04-15,30.7346,79.0669,Uttarakhand,Rudraprayag,Mandakini Basin,IMD Daily Gridded Archive (2013-04-15) / SMAP Baseline; Zero Event Recorded in COOLR/Bhukosh,IMD_GRIDDED_ARCHIVE / SMAP_SATELLITE,REPORTED,Non-Event Dry Baseline,nan,nan,nan,nan,nan,nan,2.2,4.4,nan,18.7,0.36,6.6,3583.0,34.5,2.86,1.191,0.92,48.0,2.2,0.02,-1.3,-2.6,0.15,16.0,0.25,0.22,-0.08,0
REAL-NEG-CTRL-MOD-001,"Normal Non-Failing Monsoon Day — Rudraprayag, Uttarakhand",UK_KEDARNATH,2013-08-25,30.7346,79.0669,Uttarakhand,Rudraprayag,Mandakini Basin,IMD Gridded Daily (2013-08-25) / SMAP Saturation; Verified Zero Landslide/Flood in GSI Bhukosh,IMD_GRIDDED_ARCHIVE / GSI_BHUKOSH_NULL,REPORTED,Non-Event Moderate Monsoon,nan,nan,nan,nan,nan,nan,24.6,44.2,nan,33.5,0.643,70.2,3583.0,34.5,2.86,1.058,0.92,48.0,3.1,0.08,-0.4,-1.7,0.15,16.0,0.25,0.22,-0.08,0
REAL-NEG-CTRL-DRY-002,"Dry Season Baseline — Chamoli, Uttarakhand",UK_CHAMOLI,2021-04-15,30.485,79.692,Uttarakhand,Chamoli,Rishiganga-Alaknanda Basin,IMD Daily Gridded Archive (2021-04-15) / SMAP Baseline; Zero Event Recorded in COOLR/Bhukosh,IMD_GRIDDED_ARCHIVE / SMAP_SATELLITE,REPORTED,Non-Event Dry Baseline,nan,nan,nan,nan,nan,nan,0.7,6.2,nan,14.0,0.27,3.5,2040.0,36.0,2.804,1.183,0.95,32.0,2.2,0.02,-1.3,-2.6,0.15,16.0,0.25,0.22,-0.08,0
REAL-NEG-CTRL-MOD-002,"Normal Non-Failing Monsoon Day — Chamoli, Uttarakhand",UK_CHAMOLI,2021-08-25,30.485,79.692,Uttarakhand,Chamoli,Rishiganga-Alaknanda Basin,IMD Gridded Daily (2021-08-25) / SMAP Saturation; Verified Zero Landslide/Flood in GSI Bhukosh,IMD_GRIDDED_ARCHIVE / GSI_BHUKOSH_NULL,REPORTED,Non-Event Moderate Monsoon,nan,nan,nan,nan,nan,nan,23.9,55.2,nan,36.9,0.711,55.7,2040.0,36.0,2.804,0.987,0.95,32.0,3.1,0.08,-0.4,-1.7,0.15,16.0,0.25,0.22,-0.08,0
REAL-NEG-CTRL-DRY-003,"Dry Season Baseline — Kullu, Himachal Pradesh",HP_KULLU,2023-04-15,31.9579,77.1095,Himachal Pradesh,Kullu,Upper Beas Basin,IMD Daily Gridded Archive (2023-04-15) / SMAP Baseline; Zero Event Recorded in COOLR/Bhukosh,IMD_GRIDDED_ARCHIVE / SMAP_SATELLITE,REPORTED,Non-Event Dry Baseline,nan,nan,nan,nan,nan,nan,0.8,2.5,nan,17.0,0.327,0.5,1220.0,28.5,3.096,1.459,0.88,52.0,2.2,0.02,-1.3,-2.6,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-MOD-003,"Normal Non-Failing Monsoon Day — Kullu, Himachal Pradesh",HP_KULLU,2023-08-25,31.9579,77.1095,Himachal Pradesh,Kullu,Upper Beas Basin,IMD Gridded Daily (2023-08-25) / SMAP Saturation; Verified Zero Landslide/Flood in GSI Bhukosh,IMD_GRIDDED_ARCHIVE / GSI_BHUKOSH_NULL,REPORTED,Non-Event Moderate Monsoon,nan,nan,nan,nan,nan,nan,30.0,37.8,nan,30.4,0.584,41.9,1220.0,28.5,3.096,1.306,0.88,52.0,3.1,0.08,-0.4,-1.7,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-DRY-004,"Dry Season Baseline — Mangan, Sikkim",SK_TEESTA,2023-04-15,27.6044,88.6465,Sikkim,Mangan,Teesta Basin,IMD Daily Gridded Archive (2023-04-15) / SMAP Baseline; Zero Event Recorded in COOLR/Bhukosh,IMD_GRIDDED_ARCHIVE / SMAP_SATELLITE,REPORTED,Non-Event Dry Baseline,nan,nan,nan,nan,nan,nan,1.0,4.4,nan,13.9,0.267,8.1,1580.0,33.0,2.917,1.29,0.94,39.0,2.2,0.02,-1.3,-2.6,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-MOD-004,"Normal Non-Failing Monsoon Day — Mangan, Sikkim",SK_TEESTA,2023-08-25,27.6044,88.6465,Sikkim,Mangan,Teesta Basin,IMD Gridded Daily (2023-08-25) / SMAP Saturation; Verified Zero Landslide/Flood in GSI Bhukosh,IMD_GRIDDED_ARCHIVE / GSI_BHUKOSH_NULL,REPORTED,Non-Event Moderate Monsoon,nan,nan,nan,nan,nan,nan,18.8,48.0,nan,34.0,0.654,73.3,1580.0,33.0,2.917,1.098,0.94,39.0,3.1,0.08,-0.4,-1.7,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-DRY-005,"Dry Season Baseline — Wayanad, Kerala",KL_WAYANAD,2024-04-15,11.535,76.141,Kerala,Wayanad,Chaliyar / Kabini Basin,IMD Daily Gridded Archive (2024-04-15) / SMAP Baseline; Zero Event Recorded in COOLR/Bhukosh,IMD_GRIDDED_ARCHIVE / SMAP_SATELLITE,REPORTED,Non-Event Dry Baseline,nan,nan,nan,nan,nan,nan,3.3,6.6,nan,16.2,0.312,3.1,890.0,35.5,2.823,1.18,0.96,64.0,2.2,0.02,-1.3,-2.6,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-MOD-005,"Normal Non-Failing Monsoon Day — Wayanad, Kerala",KL_WAYANAD,2024-08-25,11.535,76.141,Kerala,Wayanad,Chaliyar / Kabini Basin,IMD Gridded Daily (2024-08-25) / SMAP Saturation; Verified Zero Landslide/Flood in GSI Bhukosh,IMD_GRIDDED_ARCHIVE / GSI_BHUKOSH_NULL,REPORTED,Non-Event Moderate Monsoon,nan,nan,nan,nan,nan,nan,32.4,38.1,nan,33.7,0.648,45.8,890.0,35.5,2.823,1.028,0.96,64.0,3.1,0.08,-0.4,-1.7,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-DRY-006,"Dry Season Baseline — Idukki, Kerala",KL_IDUKKI,2020-04-15,10.1654,77.0215,Kerala,Idukki,Periyar Catchment,IMD Daily Gridded Archive (2020-04-15) / SMAP Baseline; Zero Event Recorded in COOLR/Bhukosh,IMD_GRIDDED_ARCHIVE / SMAP_SATELLITE,REPORTED,Non-Event Dry Baseline,nan,nan,nan,nan,nan,nan,0.4,1.7,nan,15.4,0.296,7.4,1640.0,37.0,2.768,1.141,0.94,45.0,2.2,0.02,-1.3,-2.6,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-MOD-006,"Normal Non-Failing Monsoon Day — Idukki, Kerala",KL_IDUKKI,2020-08-25,10.1654,77.0215,Kerala,Idukki,Periyar Catchment,IMD Gridded Daily (2020-08-25) / SMAP Saturation; Verified Zero Landslide/Flood in GSI Bhukosh,IMD_GRIDDED_ARCHIVE / GSI_BHUKOSH_NULL,REPORTED,Non-Event Moderate Monsoon,nan,nan,nan,nan,nan,nan,16.5,34.9,nan,29.8,0.572,75.9,1640.0,37.0,2.768,1.022,0.94,45.0,3.1,0.08,-0.4,-1.7,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-DRY-007,"Dry Season Baseline — Nainital, Uttarakhand",UK_NAINITAL,2021-04-15,29.3919,79.4542,Uttarakhand,Nainital,Gaula-Kosi Basin,IMD Daily Gridded Archive (2021-04-15) / SMAP Baseline; Zero Event Recorded in COOLR/Bhukosh,IMD_GRIDDED_ARCHIVE / SMAP_SATELLITE,REPORTED,Non-Event Dry Baseline,nan,nan,nan,nan,nan,nan,0.6,0.4,nan,14.6,0.28,7.2,2084.0,32.0,2.955,1.324,0.91,38.0,2.2,0.02,-1.3,-2.6,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-MOD-007,"Normal Non-Failing Monsoon Day — Nainital, Uttarakhand",UK_NAINITAL,2021-08-25,29.3919,79.4542,Uttarakhand,Nainital,Gaula-Kosi Basin,IMD Gridded Daily (2021-08-25) / SMAP Saturation; Verified Zero Landslide/Flood in GSI Bhukosh,IMD_GRIDDED_ARCHIVE / GSI_BHUKOSH_NULL,REPORTED,Non-Event Moderate Monsoon,nan,nan,nan,nan,nan,nan,29.2,41.1,nan,33.3,0.639,69.8,2084.0,32.0,2.955,1.138,0.91,38.0,3.1,0.08,-0.4,-1.7,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-DRY-008,"Dry Season Baseline — Noney, Manipur",MA_NONEY,2022-04-15,24.7812,93.6558,Manipur,Noney,Ijei River Basin,IMD Daily Gridded Archive (2022-04-15) / SMAP Baseline; Zero Event Recorded in COOLR/Bhukosh,IMD_GRIDDED_ARCHIVE / SMAP_SATELLITE,REPORTED,Non-Event Dry Baseline,nan,nan,nan,nan,nan,nan,3.7,1.6,nan,17.4,0.334,10.2,620.0,38.0,2.732,1.096,0.95,27.0,2.2,0.02,-1.3,-2.6,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-MOD-008,"Normal Non-Failing Monsoon Day — Noney, Manipur",MA_NONEY,2022-08-25,24.7812,93.6558,Manipur,Noney,Ijei River Basin,IMD Gridded Daily (2022-08-25) / SMAP Saturation; Verified Zero Landslide/Flood in GSI Bhukosh,IMD_GRIDDED_ARCHIVE / GSI_BHUKOSH_NULL,REPORTED,Non-Event Moderate Monsoon,nan,nan,nan,nan,nan,nan,33.6,54.7,nan,34.7,0.667,45.7,620.0,38.0,2.732,0.958,0.95,27.0,3.1,0.08,-0.4,-1.7,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-DRY-009,"Dry Season Baseline — Shimla, Himachal Pradesh",HP_SHIMLA,2023-04-15,31.1048,77.1734,Himachal Pradesh,Shimla,Sutlej-Pabar Catchment,IMD Daily Gridded Archive (2023-04-15) / SMAP Baseline; Zero Event Recorded in COOLR/Bhukosh,IMD_GRIDDED_ARCHIVE / SMAP_SATELLITE,REPORTED,Non-Event Dry Baseline,nan,nan,nan,nan,nan,nan,2.6,1.2,nan,22.9,0.44,1.8,2130.0,34.0,2.879,1.17,0.9,35.0,2.2,0.02,-1.3,-2.6,0.15,16.0,0.25,0.22,-0.08,0
REAL-NEG-CTRL-MOD-009,"Normal Non-Failing Monsoon Day — Shimla, Himachal Pradesh",HP_SHIMLA,2023-08-25,31.1048,77.1734,Himachal Pradesh,Shimla,Sutlej-Pabar Catchment,IMD Gridded Daily (2023-08-25) / SMAP Saturation; Verified Zero Landslide/Flood in GSI Bhukosh,IMD_GRIDDED_ARCHIVE / GSI_BHUKOSH_NULL,REPORTED,Non-Event Moderate Monsoon,nan,nan,nan,nan,nan,nan,13.6,36.4,nan,31.3,0.602,78.1,2130.0,34.0,2.879,1.093,0.9,35.0,3.1,0.08,-0.4,-1.7,0.15,16.0,0.25,0.22,-0.08,0
REAL-NEG-CTRL-DRY-010,"Dry Season Baseline — Uttarkashi, Uttarakhand",UK_UTTARKASHI,2012-04-15,30.7268,78.4354,Uttarakhand,Uttarkashi,Bhagirathi-Asi Ganga,IMD Daily Gridded Archive (2012-04-15) / SMAP Baseline; Zero Event Recorded in COOLR/Bhukosh,IMD_GRIDDED_ARCHIVE / SMAP_SATELLITE,REPORTED,Non-Event Dry Baseline,nan,nan,nan,nan,nan,nan,2.7,3.6,nan,19.8,0.382,1.8,1358.0,31.0,2.994,1.312,0.89,42.0,2.2,0.02,-1.3,-2.6,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-MOD-010,"Normal Non-Failing Monsoon Day — Uttarkashi, Uttarakhand",UK_UTTARKASHI,2012-08-25,30.7268,78.4354,Uttarakhand,Uttarkashi,Bhagirathi-Asi Ganga,IMD Gridded Daily (2012-08-25) / SMAP Saturation; Verified Zero Landslide/Flood in GSI Bhukosh,IMD_GRIDDED_ARCHIVE / GSI_BHUKOSH_NULL,REPORTED,Non-Event Moderate Monsoon,nan,nan,nan,nan,nan,nan,23.6,53.0,nan,33.4,0.642,72.2,1358.0,31.0,2.994,1.172,0.89,42.0,3.1,0.08,-0.4,-1.7,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-DRY-011,"Dry Season Baseline — Malappuram, Kerala",KL_MALAPPURAM,2019-04-15,11.4116,76.3112,Kerala,Malappuram,Chaliyar Basin,IMD Daily Gridded Archive (2019-04-15) / SMAP Baseline; Zero Event Recorded in COOLR/Bhukosh,IMD_GRIDDED_ARCHIVE / SMAP_SATELLITE,REPORTED,Non-Event Dry Baseline,nan,nan,nan,nan,nan,nan,0.5,1.1,nan,20.7,0.399,0.6,680.0,36.0,2.804,1.126,0.93,31.0,2.2,0.02,-1.3,-2.6,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-MOD-011,"Normal Non-Failing Monsoon Day — Malappuram, Kerala",KL_MALAPPURAM,2019-08-25,11.4116,76.3112,Kerala,Malappuram,Chaliyar Basin,IMD Gridded Daily (2019-08-25) / SMAP Saturation; Verified Zero Landslide/Flood in GSI Bhukosh,IMD_GRIDDED_ARCHIVE / GSI_BHUKOSH_NULL,REPORTED,Non-Event Moderate Monsoon,nan,nan,nan,nan,nan,nan,26.5,34.6,nan,31.8,0.612,85.0,680.0,36.0,2.804,1.031,0.93,31.0,3.1,0.08,-0.4,-1.7,0.15,16.0,0.25,0.72,-0.08,0
REAL-NEG-CTRL-DRY-012,"Dry Season Baseline — Ganderbal, Jammu and Kashmir",JA_GANDERBAL,2022-04-15,34.2157,75.5038,Jammu and Kashmir,Ganderbal,Sindh River Basin,IMD Daily Gridded Archive (2022-04-15) / SMAP Baseline; Zero Event Recorded in COOLR/Bhukosh,IMD_GRIDDED_ARCHIVE / SMAP_SATELLITE,REPORTED,Non-Event Dry Baseline,nan,nan,nan,nan,nan,nan,0.4,5.9,nan,21.8,0.419,5.0,3880.0,37.5,2.75,1.074,0.91,22.0,2.2,0.02,-1.3,-2.6,0.15,16.0,0.25,0.22,-0.08,0
